Itemno,Itembrand,Itemname,Itemprice,Itemscore,Itemshop
B278666305,LG전자 공식 셀러,LG전자 27MK430H IPS 68cm LED LG모니터 연관상품,"189,000원",후기평점 4.8점,rjqnrtjs34
C267641769,LG전자 공식 셀러,LG LED TV 32LM580BEND 80cm 스탠드형 연관상품,"318,060원",후기평점 4.7점,sycplus
B840752630,LG전자 공식 셀러,LG 32MN500MW 80cm IPS 화이트 컴퓨터모니터 연관상품,"249,000원",후기평점 4.7점,juksan1994
B568641149,LG전자 공식 셀러,LG 75Hz 27MK430H 68cm IPS 컴퓨터모니터 (재고보유-당일출고) 연관상품,"189,000원",후기평점 4.7점,2248147347
C905826944,엣지월,TV 스탠드 거치대 삼성 LG 티비 호환 테이블 데스크용 다리 받침대 브라켓 벽걸이,"25,800원",후기평점 4.6점,
B755249129,LG전자,LG 울트라PC 15U560 6세대 i5 8G SSD128+500G Win10 연관상품,"350,550원",후기평점 4.8점,refurkorea
C633233126,현월마운트,현월마운트 삼성 / LG 호환 벽걸이 TV 브라켓 KJH-X65 연관상품,"29,000원",후기평점 4.6점,
B748015819,LG전자 공식 셀러,LG전자 24ML600SW 컴퓨터 모니터 60cm 스피커내장 (재고보유-당일출고) 연관상품,"177,000원",후기평점 4.7점,2248147347
C977035414,LG전자,LG전자 울트라PC 엣지 16UD70Q-HX56K (SSD 512GB)재고보유+무선마우스,"1,047,430원",,sihnstar
B696735480,알뜨랑,세수비누 세안 목욕 클렌징 LG 알뜨랑비누 _엘로우10개 연관상품,"6,500원",후기평점 4.6점,imsale
C662999400,더함,더함 노바AMG NA322HD LG IPS 패널 구글 안드로이드 스마트 HD TV 연관상품,"199,000원",후기평점 4.6점,inksystem
C542732707,LG전자 울트라PC,노트북 학생용 사무용 LG 15UB470 인텔I5 더블UP SSD512GB 연관상품,"399,000원",후기평점 4.6점,sajapc
A804139564,다샵(Dashop) 공식 셀러,에어컨커버 스탠드 벽걸이 창문형 선풍기삼성무풍엘지 선풍기 커버,"4,900원",후기평점 4.7점,ljc66056
C872205505,LG전자 공식 셀러,LG LED IPS 컴퓨터 모니터 27MQ400 68Cm 사무용 가정용 CCTV (재고보유-당일출고),"192,000원",후기평점 4점,2248147347
C568174962,LG전자 울트라기어 공식 셀러,LG전자 27GP830 68cm 울트라기어 게이밍모니터 /LCK 공식/144hz 1ms HDR10 QHD/피벗틸트높낮이/장패드증정 연관상품,"448,900원",후기평점 5점,notefarm
C773118552,LG전자 공식 셀러,LG 올레드 evo 게이밍 TV OLED42C2ENA 105cm 스탠드형,"1,552,000원",,sycplus
B892584478,LG전자,PW0833R2SF 냉난방기 냉온풍기 기본설치무료 TS 연관상품,"1,699,000원",후기평점 4.9점,topstore
C679155862,LG전자 공식 셀러,LG 사운드바 S80QR 5.1.3ch 620W 인공지능 사운드 연관상품,"1,293,420원",,sycplus
C921204647,,LG전자 그램+view 16MR70 휴대용 포터블 듀얼 보조 모니터 40.6cm WQXGA 플러스뷰,"419,000원",,bestcnf
B546429434,LG전자,LG전자 Z70_i5 4570/8G/240G/ 윈도우10 중고컴퓨터 연관상품,"189,000원",후기평점 4.5점,allstarcom
C394545044,LG전자 공식 셀러,27GP850 울트라기어 QHD 68CM 게이밍모니터 연관상품,"549,000원",후기평점 5점,rjqnrtjs34
B831525583,LG전자 휘센,LG 인버터 벽걸이에어컨:SQ06B8PWDS 전국설치+무료배송 연관상품,"629,640원",후기평점 4.5점,rbgns59
C690563198,LG전자 울트라PC 엣지 공식 셀러,LG울트라PC 엣지 14UD70Q-GX76K 98만 특가 라이젠-R7 / 램16GB / NVME256GB 고사양 신제품 연관상품,"1,039,000원",,bestcnf
C385248788,LG전자,LG 27인치 27EN430H-IR 적외선 터치모니터 터치스크린,"419,000원",후기평점 5점,hidlcd
D200889369,,WB86 대형벽걸이티비브라켓 LG 삼성 호환 TV거치대 상하 좌우 조절 75인치 85인치 86인치 예담 TV대형브라켓,"83,600원",,ydbracket
D203410472,,CS151 티비스탠드 거치대 브라켓 TV이동식 이동형 받침대 삼성 LG 스텐드 65인치 55인치 지지대 예담,"132,050원",,ydbracket
B546432822,LG전자,i7 CPU LG전자 Z70_i7 4770/8G/240G 윈도우10 리퍼 연관상품,"244,000원",후기평점 4.6점,allstarcom
C716786305,LG전자 씽큐,75NANO90 75인치 티비 4K 리퍼 스마트TV 지방 스탠드 - 기사방문설치 연관상품,"2,016,840원",,mattorine
C927013322,LG전자 오브제 공식 셀러,LG 퓨리케어 오브제컬렉션 360 공기청정기 알파 AS203NS3A UP가전/UVnano,"1,490,000원",,lgekn
B439629319,LG전자,LG전자 GT-8126 효도폰/CID무선전화기/LG공식판매점,"105,000원",후기평점 4.8점,thepark
