Itemno,Itembrand,Itemname,Itemprice,Itemscore,Itemshop
C270946264,삼성전자,DDR4 16G PC4-21300 정품 PC4-2666/중고 보증 1년,"57,800원",후기평점 4.8점,mpark3400
C577104965,삼성전자 스마트에어컨 공식 셀러,인증점 삼성 Q9000 스탠드형 에어컨 AF19B6474WZS 62.6㎡ 이지케어 기본설치포함,"1,649,000원",,dasomplaza
C477054450,삼성전자 공식 셀러,비스포크 직수형 정수기 냉수모듈 RWP75210AGD 추가설치용 연관상품,"365,000원",후기평점 5점,dgtmart
C432552436,삼성전자,삼성 NT951XBE i5-8265U 8G NVME 256G 15형FHD 윈10 연관상품,"525,000원",후기평점 4.8점,dodam1024
C628546123,삼성전자 공식 셀러,SL-T2273W 잉크포함 무한잉크젯복합기/프린터기 자동양면인쇄/와이파이/정부24지원 연관상품,"299,000원",,sspartner
C628496447,삼성전자 공식 셀러,SL-T2173W 잉크포함 무한잉크젯복합기/프린터기 자동양면인쇄/와이파이/정부24지원 연관상품,"269,000원",,sspartner
C830946560,삼성전자,삼성전자 LH50BEAHLGFXKR UHD 4K 비즈니스TV 125.7cm 삼성전자물류 전국무료배송 연관상품,"599,000원",후기평점 5점,ssezstore
C902648142,삼성전자 공식 셀러,삼성전자 제트 200w용 물걸레브러시 VCA-WB652 연관상품,"149,000원",,dgtmart
C572080176,삼성전자,갤럭시 S22 S21 S20 A53 A23 노트20 10 Ultra Plus Case/최고급/초슬림/간지/블랙/범퍼/명품/정품,"22,800원",후기평점 4.8점,appleqook2
C567850964,삼성전자 공식 셀러,더 플레이트 1구 인덕션 NZ31T3703PK 다이얼식 코드2M,"169,000원",,dgtmart
C684348573,삼성전자,갤럭시 Z플립4 Z플립3 Z플립 5G F721 F711 Case/고급/핑거 링/카드/지갑형/범퍼/인기,"27,700원",후기평점 4.9점,appleqook2
C576429587,삼성전자 스마트에어컨 공식 셀러,인증점 삼성 Q9000 스탠드형 에어컨 AF19B6474TZS 62.6㎡ 이지케어 기본설치포함,"1,649,000원",,dasomplaza
C694734645,삼성전자 공식 셀러,삼성 비스포크 직수형 냉온 냉정수기 RWP71411AARA 로즈골드 메인+서브파우셋,"1,069,000원",후기평점 5점,dgtmart
http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC665561504&data=wn4M7ou6NNP8asNmjWZt5aYvryS8dC3GkU5xPpXydx%2bOOKcln3DNUqxgr%2fAK%2buh3gJkbIg6jLs9jZcC4aLl8K4q2xDl7LRViJOM%2bRNdkPfyKiQH2KzrGkXYSRr90gJx%2fxRaUjpRUvd%2fLT%2fdn7gt4ir%2fdpZNOkZ64f5pxvnr6PgFkL%2b3f0CCH0ruyH5Ijt2BAaYaoaDpev2P7Zx6Borr4Nnw8hao9%2fLz7GLLSzDnBRKS4CLGS%2fKrthVSJYY%2fW4aaYjkQEqpD5zZ7OeJ6CV27QZyKCNK4WScaQi3ezr8uqBpZUL4OTX%2bJvOf0a2UWiaIctYP3zDclseuh9QnJ9kI0mkuy7R0s2TY07Fn6aGqO3vJUusB0F%2f%2bYyq9i4rimGl4EixfM%2bvb4g4v2Gat4V406cUGNrNADwShjB558SZcIweCSE%3d&referrer=app%3a%2f%2f&seq=434826747772&type=1,삼성전자,삼성컴퓨터 7세대 카비레이크 미들형 I5-7400 8G 240+500 + LG 24형 모니터 콜라보 풀세트 / 고성능 사무용,"377,000원",후기평점 3점,jtg2005
C601044016,삼성전자,삼성 SL-J1680 잉크젯복합기 무한잉크프린터기 초특가 연관상품,"109,800원",후기평점 4.7점,skgksan1
C528051836,삼성전자 공식 셀러,22년형 삼성 비스포크 제트 VS20B956D5E 무선 청소기 220W 산토리니 베이지 연관상품,"679,000원",후기평점 4.7점,dawonp1
B568267868,삼성전자 공식 셀러,(1등급)인증점 삼성 FHD TV UN43N5010AFXKR 스탠드형,"389,000원",후기평점 4.7점,dawonp1
C221045556,삼성전자 공식 셀러,김치냉장고 4도어 RQ48A9003S9 공식인증점,"1,609,000원",후기평점 4.7점,munsung
C963525521,삼성전자 공식 셀러,갤럭시S23 5G 512GB 자급제 SM-S911N / 당일수령택배 + 신세계2만원 + 케이스증정 연관상품,"1,122,880원",,withmobile
http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC635644289&data=wBOULrZ26xFFnpbQOBxW4Y3TOYpSconKWUNqn6aX2B2xeMOCvS8SCeaPF95nDBU7IwRfx4rDwnvwdCxan4dqC1T3H0DnKtHQF%2bHEb0Cn6Wrt1If4kSCgYCtV076uHqmb0CQIYu8Lv4NCbM7AT9Nkpc%2b8gTwTM%2fghgFybr7KemDgXHj03UPseuDyNARt9guyQlSgknNSO72g5GEiCKrEAJlPHj3JHV3tJKcvfSEVLRaQ38y5R4K3xEy15pN8o1ojZnKq%2bl3SlYmydEQEAH%2bHnefEOMqKnLpAZ51w5%2bPYN4uGNmhMW2JatImU0Ht2kOaYQFVLm%2bRN%2bX54XpP4m36ADk5JcFqfr1NbbSBu10dPr693a13tzAfSotssV0zRgiNG6DtZnfZtW7eOcm6BWA5p3VGfSbXG5F9XXyhz0JkZUaIlw%3d&referrer=app%3a%2f%2f&seq=434826747757&type=1,삼성전자,삼성컴퓨터 일석이조 풀세트/삼성 사무용PC 리퍼 데스크탑 중고컴퓨터+LG 23 중고모니터 싱글 또는 듀얼,"231,000원",후기평점 4.5점,jtg2005
http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC483285974&data=wGQgIPptjsx9dbFbnLO13mzwi7TMynMiEZ%2fMIfCkcBZeaACRm3wKtabKH8lNcb5E%2b%2fV1%2fJ5jFvgnbSCL9myUlQkw5p2zidV0t7h7H8%2fKmcE9112IBLCzvO27aPt7AyDLhffneHJQgY%2bYFbMRDwMceTBOo%2bCz3Re0PqzRfnS40AUBX5ubZT3UFD25PTrCpC4vAh6BlQhPhXJKHlzHTj%2b2VTuJcL5PEZzwi7UY3Lzv0IzTbATZAcUfvoLyclmCpPowq2v4IcganZYGGN2z4yL5ZBM27iXmHWH%2bitsaRoHHMIekTNnz9sv6B03z9hdPvWF5WRsfv5P%2f5X6cJ6HTicINpFL2WJL9jl5CGInQpC8g3uU0da5wNRtI82Zs%2bhJy0naSYbb9NEVKSpoiUacsuCf%2fkIXEywd9kF1wtk%2b3vijQU%2bjc%3d&referrer=app%3a%2f%2f&seq=434826747756&type=1,삼성전자,삼성 중고 컴퓨터 2023 인생컴퓨터 도전 / 미들형 i5-7400/8G/SSD240G+HDD500G/WIN10,"263,000원",후기평점 4.3점,jtg2005
C397648475,삼성전자 공식 셀러,삼성전자 그랑데AI 건조기 DV19T8745BV 19kg,"1,109,000원",후기평점 4.7점,hanaro8118
C657612194,삼성전자 공식 셀러,SL-T2270DW 무한 잉크젯 복합기 프린터 잉크포함 (SU) / 보상판매 상품평 신세계 4만원 연관상품,"339,000원",후기평점 5점,
C689211037,삼성전자 공식 셀러,삼성 갤럭시 워치5 프로 45mm 블루투스 최종가 378740원 +선물포장 +강화필름 +스트랩 연관상품,"378,740원",후기평점 4.8점,samsungonline
C562521251,삼성전자 공식 셀러,비스포크 냉장고 1등급 RF85B9001AP 4도어 색상선택가능 슬림아이스메이커,"1,799,000원",후기평점 4.7점,pkplaza
C244485128,삼성전자 오딧세이(전자),오디세이 G5 C27G54T 게이밍 모니터 144Hz 27인치 (재고보유-당일출고) 연관상품,"339,000원",후기평점 4.9점,2248147347
C720083957,삼성전자 공식 셀러,삼성 갤럭시워치5 워치4 무선 충전기 충전독 EP-OR900,"29,500원",후기평점 4.8점,mdti
C698693546,삼성전자 공식 셀러,갤럭시 버즈2 프로 라이브 하이브로우 케이스 연관상품,"25,900원",후기평점 5점,mdti
C497526284,삼성전자 공식 셀러,비스포크 직수형 냉온정수기 RWP71411AAWM 화이트 연관상품,"989,000원",,dgtmart
C902621550,삼성전자,삼성 블루스카이3000 공기청정기 AX033B310GWD,"179,000원",후기평점 4.4점,ktalphashoptv
B770084926,삼성전자 공식 셀러,SL-C513 컬러 레이저프린터 (토너포함),"159,000원",후기평점 4.9점,now7979
C618627355,삼성전자 공식 셀러,삼성 SL-M2630ND 흑백 레이저프린터 A4 분당 26매 자동양면인쇄 네트워크 LAN연결 가정용 사무용 토너포함 연관상품,"199,000원",후기평점 4.9점,incomss
C695859348,삼성전자,삼성 갤럭시 워치5 44mm 블루투스 최종가 265270원 보호필름패키지+스트랩+선물포장 연관상품,"270,270원",후기평점 4.8점,samsungmobile
B862119254,삼성전자,삼성 비즈니스TV 4K UHD HDR 125cm 벽걸이 무료설치 연관상품,"654,000원",후기평점 4.2점,dwtrade
C392361165,삼성전자 공식 셀러,오디세이 Neo G9 S49AG950 124cm 퀀텀 게이밍 모니터 연관상품,"1,990,000원",후기평점 5점,jykk1007204
C627763705,삼성전자 공식 셀러,SL-T2175W 무한 잉크젯 복합기/프린터기 잉크포함 +포토후기 상품권+ 오늘출발 연관상품,"269,000원",후기평점 4.8점,clickprint
B806555733,삼성전자 공식 셀러,SL-C563W 컬러 레이저복합기무선 지원 프린터 WiFi 지원 모바일출력 토너포함S 포토후기2만원 연관상품,"289,000원",후기평점 4.8점,
